timestamp,fatigue_score,alert_active,eye_state,yawn_detected,head_pitch,head_yaw
1771330955.5744042,0,0,Open,0,0.00,0.00
1771330956.6216135,0,0,Open,0,0.00,0.00
1771330957.6452165,0,0,Open,0,0.00,0.00
1771330958.669014,0,0,Open,0,0.00,0.00
1771330959.688211,0,0,Open,0,0.00,0.00
1771330960.7395115,20.0,0,Open,0,176.14,1.10
1771330961.7630618,20.0,0,Open,0,-179.97,-1.45
1771330962.7888541,20.0,0,Open,0,-176.29,-5.75
1771330963.8109899,20.0,0,Open,0,-173.87,-7.44
1771330964.8359025,20.0,0,Open,0,-178.33,-6.23
1771330965.856621,54.0,0,Closed,0,174.33,-1.95
1771330966.8813586,60.00000000000001,0,Closed,0,179.34,0.40
1771330967.904055,60.00000000000001,0,Closed,0,178.54,0.02
1771330968.9293528,60.00000000000001,0,Closed,0,-178.88,0.25
1771330969.9530387,20.0,0,Open,0,-178.15,0.80
1771330970.975325,20.0,0,Open,0,-179.34,-2.75
1771330971.997574,20.0,0,Open,0,-179.71,-2.21
1771330973.0221217,20.0,0,Open,0,177.17,-13.21
1771330974.046141,20.0,0,Open,0,177.61,-7.73
1771330975.0692694,20.0,0,Open,0,177.11,-5.38
1771330976.0933983,20.0,0,Open,0,179.56,-7.04
1771330977.1163836,20.0,0,Open,0,-179.90,-5.46
1771330978.1362705,50.0,0,Closed,0,167.05,-1.81
1771330979.1610026,20.0,0,Open,0,177.87,-6.05
1771330980.1846433,42.00000000000001,0,Closed,0,173.15,0.93
1771330981.2107315,60.00000000000001,0,Closed,0,168.64,-1.40
1771330982.2320123,60.00000000000001,0,Closed,0,168.63,-1.74
1771330983.2637272,60.00000000000001,0,Closed,0,168.81,-2.66
1771330984.2820768,60.00000000000001,0,Closed,0,172.37,-2.64
1771330985.2999556,60.00000000000001,0,Closed,0,166.52,-1.65
1771330986.3263931,20.0,0,Open,0,176.39,14.90
1771330987.3729205,20.0,0,Open,0,178.10,14.33
1771330988.3798385,20.0,0,Open,0,178.85,3.96
1771330989.4005117,20.0,0,Open,0,177.96,-2.72
1771330990.4226294,20.0,0,Open,0,-178.05,-12.49
1771330991.441926,26.0,0,Closed,0,-173.18,-1.50
1771330992.4669418,20.0,0,Open,1,172.25,-14.44
1771330993.489553,20.0,0,Open,0,-175.69,-3.50
1771330994.514593,20.0,0,Open,1,170.34,-3.56
1771330995.541221,48.0,0,Closed,0,161.67,0.41
1771330996.5622234,60.00000000000001,0,Closed,0,159.25,0.03
1771330997.5838456,60.00000000000001,0,Closed,0,163.13,-0.67
1771330998.6085725,30.000000000000004,0,Closed,0,165.59,0.54
1771330999.6304345,60.00000000000001,0,Closed,0,172.92,-2.71
1771331000.6533818,60.00000000000001,0,Closed,0,168.56,-3.29
1771331001.6854222,60.00000000000001,0,Closed,0,175.17,-0.83
1771331002.701492,60.00000000000001,0,Closed,0,172.77,-3.19
1771331003.7230175,22.000000000000004,0,Closed,0,174.06,-4.73
1771331004.7450852,56.00000000000001,0,Closed,1,169.92,1.92
1771331005.770393,89.99999999999999,1,Closed,1,172.29,14.88
1771331006.7948782,60.00000000000001,0,Closed,1,171.07,12.95
1771331007.8187768,89.99999999999999,1,Closed,1,167.95,17.98
1771331008.8442929,89.99999999999999,1,Closed,1,168.42,22.55
1771331009.8619561,60.00000000000001,0,Closed,1,177.88,44.16
1771331010.8921874,60.00000000000001,0,Closed,0,178.06,7.39
1771331011.9116511,60.00000000000001,0,Closed,0,175.91,-17.69
1771331012.9348433,60.00000000000001,0,Closed,1,176.43,-8.05
1771331013.95277,40.0,0,Open,0,0.00,0.00
1771331014.9555535,40.0,0,Open,0,0.00,0.00
1771331015.9756532,40.0,0,Open,0,0.00,0.00
1771331016.9997513,40.0,0,Open,0,0.00,0.00
1771331018.0232892,40.0,0,Open,0,0.00,0.00
1771331019.0477295,40.0,0,Open,0,0.00,0.00
1771331020.0723865,40.0,0,Open,0,0.00,0.00
1771331021.0961456,40.0,0,Open,0,0.00,0.00
1771331022.115982,40.0,0,Open,0,0.00,0.00
1771331023.167119,30.000000000000004,0,Closed,0,177.04,-22.40
1771331024.1927972,36.00000000000001,0,Closed,0,175.32,-3.92
1771331025.214914,20.0,0,Open,0,176.58,-0.46
1771331026.2431622,20.0,0,Open,0,178.04,-9.35
1771331027.2726672,20.0,0,Open,0,177.54,-9.75
1771331028.286773,20.0,0,Open,0,175.42,-6.78
1771331029.2898443,20.0,0,Open,0,176.82,-6.52
1771331030.335821,20.0,0,Open,0,176.54,-11.85
1771331031.3562973,20.0,0,Open,0,177.32,-11.53
1771331032.3832664,20.0,0,Open,0,177.00,-10.94
1771331033.4044843,20.0,0,Open,0,174.37,-6.30
1771331034.4246147,20.0,0,Open,0,176.99,-7.06
1771331035.4544048,20.0,0,Open,0,174.41,-3.77
1771331036.4705966,20.0,0,Open,0,-178.24,-11.22
1771331037.497173,20.0,0,Open,0,-173.43,-2.14
1771331038.5197597,20.0,0,Open,0,-177.58,23.38
1771331039.5441737,20.0,0,Open,1,171.63,-10.13
1771331040.5636604,20.0,0,Open,0,175.56,-13.73
1771331041.589726,22.000000000000004,0,Closed,0,-178.17,-26.32
1771331042.6146624,20.0,0,Open,0,-173.82,-11.22
1771331043.6366372,20.0,0,Open,0,-178.77,-13.14
1771331044.659213,20.0,0,Open,0,171.44,-1.72
1771331045.6872747,20.0,0,Open,0,-178.34,-7.18
1771331046.7088916,20.0,0,Open,0,-178.32,-9.97
1771331047.7301443,22.000000000000004,0,Closed,0,177.10,-8.31
1771331048.75808,20.0,0,Open,0,-176.70,-7.46
1771331049.7750797,38.0,0,Closed,0,165.55,-8.78
1771331050.7990131,20.0,0,Open,0,173.75,-3.73
1771331051.8279343,20.0,0,Open,0,173.11,-1.37
1771331052.853169,20.0,0,Open,0,172.19,0.29
1771331053.867955,20.0,0,Open,0,173.03,-1.19
1771331054.8941343,40.0,0,Closed,0,178.71,-7.79
1771331055.9223816,20.0,0,Open,0,176.55,1.69
